serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
1,Andhra Pradesh,Alluri Sitharama Raju,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,20,20,0,7,7,0,0,0,0,0,0,13,0,0,0,136,17.88592535,82.21792796,10,0.0014351320321469576,99.8564867967853
2,Andhra Pradesh,Anakapalli,0,0,0,25,24,0,1,0,0,0,0,0,1,0,0,37,37,0,7,6,1,244,244,0,51,51,0,1,1,0,0,0,32,26,0,0,789,17.6715331,82.7747567,161,0.023105625717566018,97.6894374282434
3,Andhra Pradesh,Anantapuramu,0,0,0,21,0,0,0,7,3,4,14,0,2,0,0,12,12,0,12,12,0,174,174,0,50,50,0,1,1,0,0,0,34,4,27,0,614,14.6649456,77.5118038,134,0.019230769230769232,98.07692307692307
4,Andhra Pradesh,Annamayya,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,11,11,0,4,1,3,126,126,0,47,47,0,0,0,0,0,0,27,5,5,0,418,13.8962384,78.65348019,9,0.0012916188289322618,99.87083811710677
5,Andhra Pradesh,Bapatla,0,0,0,6,3,0,0,2,0,2,1,0,0,0,0,22,22,0,2,1,1,187,187,0,129,129,0,2,2,0,0,0,32,14,8,0,752,15.9052608,80.4680501,43,0.006171067738231917,99.3828932261768
6,Andhra Pradesh,Chittoor,0,0,0,7,4,0,2,1,1,0,0,0,0,0,0,12,12,0,4,3,1,196,196,0,74,74,0,0,0,0,0,0,27,19,3,0,636,13.2161224,79.0972819,42,0.006027554535017222,99.39724454649827
7,Andhra Pradesh,Dr BR Ambedkar Konaseema,0,0,1,22,20,0,0,2,1,1,0,0,0,0,0,23,23,0,7,4,3,318,318,0,58,58,0,0,0,0,0,0,38,35,12,0,944,16.7372789,81.86293177,128,0.018369690011481057,98.1630309988519
8,Andhra Pradesh,East Godavari,1,0,1,22,8,0,0,13,1,12,0,1,0,0,0,27,27,0,0,0,0,216,216,0,151,151,0,0,0,0,0,0,62,54,1,0,964,16.99566385,81.71543779,66,0.00947187141216992,99.05281285878301
9,Andhra Pradesh,Eluru,0,0,0,45,36,0,0,2,2,0,1,6,3,0,0,28,28,0,14,14,0,409,409,0,152,152,0,0,0,0,0,0,53,15,92,0,1461,16.7104257,81.1153816,225,0.03229047072330655,96.77095292766934
10,Andhra Pradesh,Guntakal Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,5,15.172825,77.3664764,0,0.0,100.0
11,Andhra Pradesh,Guntur,0,0,0,29,23,0,0,4,3,1,1,1,18,0,0,29,29,0,8,7,1,398,398,0,510,510,0,27,0,0,0,0,63,72,4,0,2136,16.2915189,80.4541588,147,0.021096440872560275,97.89035591274397
